DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BA,2012,576,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BA,2015,580,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BA,2018,585,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BE,2006,2772,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BE,2009,2795,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BE,2012,2813,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BE,2015,2824,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BE,2018,2846,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BG,2006,1655,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BG,2009,1675,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BG,2012,1683,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BG,2015,1693,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,BG,2018,1705,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CH,2006,1706,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CH,2009,1735,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CH,2012,1745,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CH,2015,1748,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CH,2018,1755,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CY,2006,357,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CY,2009,365,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CY,2012,373,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CY,2015,385,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CY,2018,396,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CZ,2006,2624,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CZ,2009,2647,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CZ,2012,2676,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CZ,2015,2683,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,CZ,2018,2702,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DE,2006,19911,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DE,2009,20085,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DE,2012,20253,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DE,2015,20331,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DE,2018,20456,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DK,2006,1881,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DK,2009,1899,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DK,2012,1911,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DK,2015,1915,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,DK,2018,1938,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EE,2006,505,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EE,2009,508,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EE,2012,513,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EE,2015,516,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EE,2018,517,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EL,2006,2339,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EL,2009,2353,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EL,2012,2366,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EL,2015,2376,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EL,2018,2395,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,ES,2006,9000,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,ES,2009,9116,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,ES,2012,9328,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,ES,2015,9382,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,ES,2018,9440,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EU27_2020,2006,107097,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EU27_2020,2009,108185,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EU27_2020,2012,109341,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EU27_2020,2015,109908,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,EU27_2020,2018,110702,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FI,2006,2465,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FI,2009,2488,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FI,2012,2497,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FI,2015,2506,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FI,2018,2529,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FR,2006,19268,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FR,2009,19441,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FR,2012,19710,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FR,2015,19812,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,FR,2018,19937,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HR,2006,989,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HR,2009,994,
