eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2016,921,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2017,915,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2018,910,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2019,905,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2020,906,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2021,908,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2022,917,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2023,920,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2000,345,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2001,345,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2002,346,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2003,351,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2004,354,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2005,358,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2006,372,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2007,372,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2008,373,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2009,373,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2010,370,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2011,372,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2012,366,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2013,367,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2014,363,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2015,367,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2016,367,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2017,366,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2018,366,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2019,367,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2020,363,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2021,363,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2022,362,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DE,Germany,2023,362,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2000,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2001,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2002,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2003,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2004,8,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2005,34,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2006,34,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2007,34,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2008,28,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2009,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2010,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2011,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2012,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2013,26,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2014,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2015,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2016,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2017,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2018,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2019,27,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2020,29,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2021,30,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2022,30,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EE,Estonia,2023,30,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2000,121,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2001,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2002,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2003,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2004,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2005,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2006,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2007,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2008,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2009,122,
