DATAFLOW,LAST UPDATE,freq,indic_env,hazard,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2011,28.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2012,26.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2013,24.9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2014,27.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2015,27.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2016,29.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2017,29.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2018,29.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2019,32.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2020,30.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2021,27.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2022,20.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2023,20.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2004,244.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2005,251.9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2006,246.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2007,254.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2008,242.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2009,206.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2010,235.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2011,225.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2012,220,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2013,219.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2014,223.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2015,219.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2016,215.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2017,220.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2018,221,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2019,224.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2020,216.9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2021,223.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2022,195.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous,Million tonnes,European Union - 27 countries (from 2020),2023,167.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2004,317,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2005,327.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2006,323.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2007,334.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2008,309.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2009,268.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2010,306.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2011,295.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2012,292.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2013,290.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2014,295.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2015,292.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2016,291.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous and non-hazardous - total,Million tonnes,European Union - 27 countries (from 2020),2017,297.6,
